d_loss, g_loss
-4.745682, 6.2222815
-4.413494, 6.2073402
-6.4655704, 6.5999403
-3.9511454, 6.048338
-3.8197913, 6.525798
-4.2101316, 6.4646306
-4.348984, 6.637788
-5.319458, 6.4858685
-3.6510172, 6.4417343
-7.4319186, 6.015381
-3.7057014, 6.3690896
-5.224312, 4.4844475
-5.917013, 4.6857452
-5.324147, 5.645173
-5.5008836, 5.4217567
-3.278024, 6.7720327
-4.1903944, 6.8297067
-4.954023, 5.610782
-4.626375, 6.2618456
-5.141998, 5.686842
-2.7541652, 5.668441
-3.7272918, 4.777181
-5.5245433, 6.326201
-5.3394294, 4.4223156
-4.030706, 5.962537
-3.7236724, 4.221378
-4.9650226, 6.1171665
-6.187887, 6.417039
-2.2488804, 5.0960946
-5.2529116, 6.0852833
-5.4763813, 5.1942134
-5.3365097, 4.3755007
-5.9545083, 5.3866367
-5.5094233, 6.862541
-4.9974704, 4.962748
-4.0153008, 4.300619
-3.7231534, 4.8601933
-4.1732006, 4.8365636
-4.4965973, 4.167755
-4.320883, 4.864691
-4.797076, 4.208309
-4.1852374, 4.5327992
-5.9253035, 4.0764146
-5.8044477, 4.578324
-4.807472, 3.470017
-5.7416673, 4.1412463
-5.3178315, 3.9986494
-4.3722944, 4.4580154
-5.4068556, 4.5596666
-7.71968, 5.6363735
-4.8688183, 4.8527026
-5.2681155, 4.006174
-5.2496424, 4.8599563
-5.437003, 3.5590167
-6.032437, 5.7304573
-5.467975, 6.105894
-5.8507833, 5.470016
-4.2352986, 4.7181406
-2.7580132, 4.7075715
-4.1799107, 4.554161
-4.1406126, 4.7981434
-3.8114924, 4.9727097
-2.517571, 4.3596306
-6.801174, 4.899973
-4.251044, 4.4325147
-5.233465, 5.141962
-4.477968, 3.565266
-4.3107276, 6.054884
-6.682641, 4.6058426
-6.304257, 3.9726613
-5.497551, 5.324772
-4.9124265, 4.1329427
-4.368477, 3.8346946
-5.856142, 5.414343
-4.243893, 4.274524
-5.360517, 5.58689
-4.5135384, 5.174088
-3.6514897, 6.1719294
-4.5111747, 4.6351385
-5.679314, 4.948902
-3.5024068, 4.5211067
-4.6620502, 3.8975718
-3.5093858, 4.806328
-6.3950005, 4.5754566
-3.4554403, 3.701135
-6.298019, 5.158864
-3.2833185, 4.9675665
-5.180115, 4.299681
-5.6076446, 5.287671
-5.644208, 4.20253
-6.0013556, 3.2094684
-4.889351, 4.0454354
-3.9077785, 4.9914055
-3.1294117, 5.947249
-4.0100975, 4.574799
-3.450964, 3.7394931
-2.970033, 4.5084543
-4.929895, 5.3304234
-3.39217, 5.2726374
-7.263915, 4.276012
-2.9659066, 4.798665
-7.2534857, 4.1903014
-5.0323725, 3.8983376
-3.4944556, 4.693245
-5.431404, 4.1056194
-7.211046, 5.195321
-5.074403, 5.343686
-4.9365406, 4.86091
-4.386248, 4.5330057
-5.4414697, 4.4240065
-5.6869373, 5.6745243
-5.816064, 5.860958
-5.6856804, 4.4569807
-5.7488627, 4.954704
-5.0310426, 4.9867773
-5.96023, 5.3208885
-4.1663013, 6.562172
-4.0398064, 5.8054256
-3.7542644, 5.7879972
-5.706067, 6.626768
-5.7071095, 5.7379827
-3.938879, 5.5445027
-6.5683618, 5.112604
-5.2280326, 5.28744
-5.390028, 3.8680782
-5.4727607, 3.3066766
-5.1004257, 3.825981
-4.50554, 5.644312
-3.9150686, 4.0999484
-5.4536695, 4.492607
-5.2793293, 4.113989
-7.013044, 3.7493253
-5.5390005, 4.445097
-4.4695272, 3.236456
-6.2606277, 4.191442
-3.0829551, 3.4731984
-5.9438047, 1.4495527
-5.819896, 3.0337524
-3.5943098, 3.1531053
-3.415709, 2.5897157
-4.348816, 3.8370843
-2.372859, 4.833596
-4.110151, 2.7118144
-5.1130867, 4.1658154
-5.4300017, 3.8799167
-4.9057055, 3.030067
-3.9567828, 3.5655246
-5.510119, 2.5749764
